NCMs;CFOPs;Descrição;Monofásico?;Data
           ;5405.0;COLEIRA PEITORAL COURO FORRADA N  02;Não;12/08/2019
           ;5102.0;FERRADURA JK 1NGR PLUS;Não;15/08/2019
           ;5102.0;MARMITA POLIDA 16 - 1,4L;Não;09/09/2019
           ;5405.0;COMEDOURO 2 FUROS C/GAN ALVORADA 1016;Não;10/10/2019
           ;5405.0;REMOTEM - DESPLACANTE TINTAS LIQUIDO 900 ML;Não;01/11/2019
           ;5405.0;JIMO CUPIM AEROSOL  400ml;Não;07/11/2019
 1005-90-10;5405.0;MILHO - RAÇAO GRANEL;Não;27/09/2019
 1008-30-90;5405.0;ALPISTE 500 GR - RAÇAO GRANEL;Não;10/08/2019
 1103-13-00;5102.0;CANJIQUINHA MEDIA 1 kg - RACAO GRANEL;Não;02/09/2019
 1103-13-00;5405.0;CANJIQUINHA  MEDIA  1 kg - RAÇAO GRANEL;Não;09/09/2019
 1104-23-00;5102.0;MILHO SACO 25 KG;Não;02/08/2019
 1104-23-00;5102.0;MILHO SACO 50 KG;Não;30/08/2019
 1206-00-90;5405.0;SEMENTE GIRASSOL  PCT 500 GR - RAÇAO GRANEL;Não;11/10/2019
 2201-10-00;5102.0;AGUA MINERAL NATURAL 20 LTS;Sim;01/10/2019
 2201-10-00;5405.0;AGUA MINERAL NATURAL  20 LTS;Não;10/10/2019
 2207-10-90;5102.0;ALCOOL LIQUIDO 70% 1 LITRO;Sim;15/08/2019
 2210-82-07;5405.0;PICAO PONTA / TALHADEIRA   FORJ M.B.;Não;29/08/2019
 2302-10-00;5102.0;FUBA GROSSO SACO 50 KG;Não;01/08/2019
 2302-30-10;5405.0;FARELO TRIGO 40kg;Não;02/10/2019
 2309-10-00;5102.0;RAÇAS PEQ SPECIAL DOG - RAÇAO GRANEL;Não;01/08/2019
 2309-10-00;5405.0;PITTY - RAÇAO GRANEL;Não;06/08/2019
 2309-10-00;5102.0;DOG SPECIAL - RAÇAO GRANEL;Não;06/08/2019
 2309-10-00;5102.0;CAT PEIXE - RAÇAO GRANEL;Não;06/08/2019
 2309-10-00;5405.0;RAÇAO PITTY 25 KG;Não;10/08/2019
 2309-10-00;5102.0;DOG JUNIOR - RAÇAO GRANEL;Não;22/08/2019
 2309-10-00;5405.0;RAÇAO PITTY 15 KG;Não;05/09/2019
 2309-10-00;5102.0;DOG GOLD - RAÇAO GRANEL;Não;29/09/2019
 2309-10-00;5405.0;PITUKINHA - RAÇAO GRANEL;Não;06/10/2019
 2309-10-00;5102.0;DOG PRIME SPECIAL - RAÇAO GRANEL;Não;09/10/2019
 2309-10-00;5102.0;RAÇAO DOG JUNIOR 25 KG;Não;10/10/2019
 2309-10-00;5102.0;RAÇAO SPECIAL DOG 25 KG;Não;17/10/2019
 2309-90-10;5102.0;RAÇAO SPECIAL DOG CARNE 20 KG;Não;01/08/2019
 2309-90-10;5102.0;PMA45 - CANARIO BELGA ROOLER NATURAL 500 GR;Não;01/08/2019
 2309-90-10;5102.0;PMA59 - MASTER GOLD 500 GR;Não;01/08/2019
 2309-90-10;5102.0;RAÇAO SPECIAL DOG - 15 KG;Não;01/08/2019
 2309-90-10;5102.0;RAÇAO GALINHA MASTER 17%  P  20 KG;Não;02/08/2019
 2309-90-10;5102.0;PMA41 - PEQUENOS ROEDORES MIX 500 GR;Não;02/08/2019
 2309-90-10;5102.0;HOT CAT CARNE KG;Não;03/08/2019
 2309-90-10;5102.0;CAT CARNE - RAÇAO GRANEL;Não;05/08/2019
 2309-90-10;5405.0;VITAMINA AMARELA  P/CANARIOS 200 gr- RAÇAO GRANEL;Não;08/08/2019
 2309-90-10;5102.0;PMA03 - TRINCA FERRO FRUTAS NATURAL 500 GR;Não;08/08/2019
