NCMs;CFOPs;Descrição;Monofásico?;Data
 1008-30-90;5405.0;ALPISTE 500 GR - RAÇAO GRANEL;Não;2020-01-09 00:00:00
 1103-13-00;5102.0;CANJIQUINHA MEDIA 1 kg - RACAO GRANEL;Não;2020-01-14 00:00:00
 1104-23-00;5102.0;MILHO SACO 50 KG;Não;2020-01-10 00:00:00
 1104-23-00;5102.0;MILHO SACO 25 KG;Não;2020-01-14 00:00:00
 1206-00-90;5405.0;SEMENTE GIRASSOL  PCT 500 GR - RAÇAO GRANEL;Não;2020-01-15 00:00:00
 2201-10-00;5102.0;AGUA MINERAL NATURAL 20 LTS;Sim;2020-01-02 00:00:00
 2302-30-10;5405.0;FARELO TRIGO 40kg;Não;2020-01-10 00:00:00
 2309-10-00;5102.0;DOG JUNIOR - RAÇAO GRANEL;Não;2020-01-02 00:00:00
 2309-10-00;5102.0;DOG SPECIAL - RAÇAO GRANEL;Não;2020-01-03 00:00:00
 2309-10-00;5102.0;RAÇAS PEQ SPECIAL DOG - RAÇAO GRANEL;Não;2020-01-03 00:00:00
 2309-10-00;5405.0;PITUKINHA - RAÇAO GRANEL;Não;2020-01-04 00:00:00
 2309-10-00;5102.0;CAT PEIXE - RAÇAO GRANEL;Não;2020-01-14 00:00:00
 2309-90-10;5102.0;PEDIGREE SACHE AD RAÇA PEQ FRANGO 100 GR;Não;2020-01-02 00:00:00
 2309-90-10;5102.0;RAÇAO SPECIAL DOG - 15 KG;Não;2020-01-02 00:00:00
 2309-90-10;5102.0;LIGHT SPECIAJ DOG - RAÇAO GRANEL;Não;2020-01-03 00:00:00
 2309-90-10;5102.0;CAT FILHOTES - RAÇAO GRANEL;Não;2020-01-03 00:00:00
 2309-90-10;5102.0;HOT CAT MIX - RAÇAO GRANEL;Não;2020-01-04 00:00:00
 2309-90-10;5102.0;CAT MIX - RAÇAO GRANEL;Não;2020-01-04 00:00:00
 2309-90-10;5102.0;HOT CAT PEIXE KG;Não;2020-01-06 00:00:00
 2309-90-10;5102.0;MASTERFOS 45 SC 25 KG - GADO CORTE;Não;2020-01-10 00:00:00
 2309-90-10;5102.0;SAL 25 KG;Não;2020-01-10 00:00:00
 2309-90-10;5102.0;RACAO FRANGO DO SITIO T. 20KG MASTER;Não;2020-01-14 00:00:00
 2309-90-10;5102.0;RAÇAO SPECIAL DOG CARNE 20 KG;Não;2020-01-15 00:00:00
 2309-90-10;5102.0;RAÇAO FAVORITO COM FRUTAS - 500 GR;Não;2020-01-15 00:00:00
 2309-90-10;5102.0;CAT CARNE - RAÇAO GRANEL;Não;2020-01-17 00:00:00
 2309-90-10;5102.0;PMA19 - CALOPSITA MIX 500 GR;Não;2020-01-18 00:00:00
 2309-90-10;5102.0;CAT PRIME CASTRADOS - RAÇAO GRANEL;Não;2020-01-18 00:00:00
 2309-90-10;5102.0;PEDIGREE EQN RAÇAS PEQUENAS - RAÇAO GRANEL;Não;2020-01-18 00:00:00
 2309-90-10;5102.0;RAÇAO FRANGO DO SITIO MASTER TRIT 20 KG;Não;2020-01-27 00:00:00
 2309-90-10;5102.0;JUNIOR RAÇAS PEQ. - RAÇAO GRANEL;Não;2020-01-27 00:00:00
 2309-90-90;5102.0;BIOTRIN VET  COMP. VITAMINICO  20ml   VETBRAS;Não;2020-01-02 00:00:00
 2309-90-90;5102.0;VITA GOLD POTENCIADO 50ml   FABIANI;Não;2020-01-08 00:00:00
 2522-20-00;5405.0;CAL HIDRATADA P/ MASSA  CH III  SC 20KG;Não;2020-01-04 00:00:00
 2523-29-90;5102.0;CIMENTO CP III RS 40 CSN;Não;2020-01-02 00:00:00
 2710-12-30;5405.0;AGUARRAS (EUCATEX RAZ)  900ml   EUCATEX;Não;2020-01-24 00:00:00
 2710-19-19;5405.0;QUEROSENE  900ml;Não;2020-01-11 00:00:00
 2710-19-31;5102.0;DIMEC - OLEO MULTIUSO 100ml;Não;2020-01-06 00:00:00
 2821-10-11;5405.0;XADREZ PIGMENTO PO VERMELHO  250g   LANXESS;Não;2020-01-08 00:00:00
 2828-90-11;5102.0;CLORO LIQUIDO (HIPOCLORITO DE SODIO);Não;2020-01-30 00:00:00
 3001-90-21;5102.0;UNGUENTO  50g   FAGRA;Não;2020-01-21 00:00:00
 3002-12-16;5102.0;SORO ANTITETANICO 5000UI  5ml   LEMA;Sim;2020-01-07 00:00:00
 3002-90-91;5405.0;SHAMPOO SANOL ANTIPULGAS  500ml;Não;2020-01-03 00:00:00
 3004-10-15;5102.0;AGROSIL PPU INJETAVEL  50ml   VANSIL;Sim;2020-01-07 00:00:00
 3004-10-15;5102.0;AGROSIL 5 MEGA   VANSIL;Sim;2020-01-18 00:00:00
 3004-20-61;5102.0;MASTIZONE VACA LACTAÇAO  10g   UCB;Sim;2020-01-24 00:00:00
 3004-20-99;5102.0;FORTBIOTICO PLUS SUPERFORTE UCB;Sim;2020-01-02 00:00:00
 3004-20-99;5102.0;TERRAMICINA  AG 77 PO SOLUVEL 100 GRS;Sim;2020-01-04 00:00:00
 3004-20-99;5102.0;CANTO LINDO ANTIBIOTICO 20 ml;Sim;2020-01-16 00:00:00
 3004-20-99;5102.0;TERRAMICINA LA INJETAVEL 50 ML;Sim;2020-01-22 00:00:00
 3004-39-39;5102.0;ANTICION AMPOLA 1ML DOSE UN;Sim;2020-01-03 00:00:00
 3004-39-39;5405.0;ANTICION C/ SERINGA;Sim;2020-01-16 00:00:00
 3004-49-90;5102.0;THUYA AVICOLA SIMOES ORAL 20 ML;Sim;2020-01-06 00:00:00
 3004-49-90;5102.0;THUYA AVICOLA SIMOES ORAL 90 ML;Sim;2020-01-22 00:00:00
 3004-50-90;5102.0;ROBOFORTE 100 ml;Sim;2020-01-02 00:00:00
 3004-50-90;5102.0;MERCEPTON ANTITOXICO INJETAVEL 100 ML;Sim;2020-01-11 00:00:00
 3004-90-24;5102.0;CALMINEX POMADA 100 GRS;Sim;2020-01-23 00:00:00
 3004-90-24;5102.0;NGF-5  100g   MARCOLAB;Sim;2020-01-27 00:00:00
 3004-90-43;5102.0;ANESTEX INJETAVEL FAGRA  50ml;Sim;2020-01-13 00:00:00
 3004-90-46;5102.0;ACIENDEL PLUS POUR-ON 1000 ML;Não;2020-01-18 00:00:00
 3004-90-59;5102.0;IVOMEC INJETAVEL 050 ML;Sim;2020-01-02 00:00:00
 3004-90-59;5102.0;IVOMEC GOLD INJETAVEL 050 ML;Sim;2020-01-16 00:00:00
 3004-90-59;5102.0;PHENODRAL INJETAVEL 15 ML;Sim;2020-01-22 00:00:00
 3004-90-59;5102.0;DECTOMAX INJETAVEL A 1% 050 ML;Sim;2020-01-25 00:00:00
 3004-90-62;5102.0;HIPOFEN PASTA ORAL P/EQUINOS 20 GR;Sim;2020-01-22 00:00:00
 3004-90-63;5102.0;VERMIVET PLUS 660 MG P/CAES 4 COMPRIMIDO;Sim;2020-01-17 00:00:00
 3004-90-63;5102.0;VERMIVET COMPOSTO 4 COMP;Sim;2020-01-18 00:00:00
 3004-90-67;5102.0;CHEMITRIL INJETAVEL 10% 10ml;Sim;2020-01-21 00:00:00
 3004-90-69;5102.0;FLUNAMINE INJ 50 ML;Sim;2020-01-02 00:00:00
 3004-90-96;5102.0;FERRODEX 50 ML;Sim;2020-01-04 00:00:00
 3004-90-99;5102.0;PENTABIOTICO VETERINARIO 2.400.000;Sim;2020-01-07 00:00:00
 3004-90-99;5102.0;EQUIPALAZONE INJETAVEL  100 ML;Sim;2020-01-20 00:00:00
 3004-90-99;5102.0;FORMOPED 400 ML;Sim;2020-01-20 00:00:00
 3204-14-00;5102.0;TINGECOR CORANTE GUARANY PRETO;Não;2020-01-10 00:00:00
 3204-17-00;5405.0;XADREZ CORANTE LIQUIDO 50ml VERDE;Não;2020-01-14 00:00:00
 3204-17-00;5405.0;XADREZ CORANTE LIQUIDO 50ml AMARELO;Não;2020-01-18 00:00:00
 3208-10-10;5102.0;ESMALTE SINTETICO HIDRACOR 1/32 VERMELHO;Não;2020-01-08 00:00:00
 3208-10-10;5102.0;TINTA ESMALTE SINT 1/16 225 ML PRETO UNIVERSO;Não;2020-01-08 00:00:00
 3208-10-10;5102.0;ESMALTE SINTETICO HIDRACOR 900 ML TABACO;Não;2020-01-20 00:00:00
 3208-10-20;5102.0;VERNIZ MARITIMO 3.6L EUCATEX BRILHANTE  - 900193.0;Não;2020-01-10 00:00:00
 3208-20-11;5102.0;TINTA SPRAY EUCATEX MULTIUSO PRETO FOSCO 400 ML;Não;2020-01-04 00:00:00
 3208-20-11;5102.0;TINTA SPRAY OPER BCO FOSCO 400ML;Não;2020-01-06 00:00:00
 3208-20-11;5102.0;TINTA SPRAY EUCATEX MULTIUSO VERMELHO 400 ML;Não;2020-01-09 00:00:00
 3208-20-11;5102.0;TINTA SPRAY EUCATEX MUILTIUSO ALUMINIO 400 ML;Não;2020-01-10 00:00:00
 3208-90-10;5102.0;TINTA ESM.SINT. VDE FOLHA 225 ML;Não;2020-01-08 00:00:00
 3214-10-10;5102.0;POLYEPOX PULVITEC 50 GR;Não;2020-01-03 00:00:00
 3214-10-10;5102.0;SILICONE ACETICO INCOLOR 240G UNIPEGA;Não;2020-01-06 00:00:00
 3214-10-10;5405.0;SILICONE INCOLOR  50g;Não;2020-01-17 00:00:00
 3214-10-20;5405.0;MASSA CORRIDA PVA 0,9 LTS   SUVINIL;Não;2020-01-13 00:00:00
 3214-90-00;5102.0;MASSA PLASTICA 400 G PRETA REAL;Não;2020-01-07 00:00:00
 3214-90-00;5405.0;MASSA PLASTICA 400gr BRANCA REAL;Não;2020-01-24 00:00:00
 3401-20-90;5405.0;SABONETE CAO FIEL  90g ANTIS. E BACTERIC.;Não;2020-01-22 00:00:00
 3402-20-00;5102.0;TUFF COCO LAVA ROUPAS FINAS DELICADAS 1 LT START;Não;2020-01-30 00:00:00
 3402-90-39;5102.0;LIMPADOR PERFUMADO AZULIM ALEGRIA 500 ML;Não;2020-01-30 00:00:00
 3402-90-39;5102.0;MULTIUSO AZULIM LIMAO 500 ML;Não;2020-01-30 00:00:00
 3402-90-39;5102.0;MULTIUSO AZULIM FLORATA 500 ML;Não;2020-01-30 00:00:00
 3402-90-39;5102.0;LIMPADOR PERFUMADO AZULIM - FELICIDADE 500 ml;Não;2020-01-30 00:00:00
 3402-90-39;5102.0;MULTIUSO AZULIM ORIGINAL USO DIARIO 550 ml;Não;2020-01-30 00:00:00
 3402-90-39;5102.0;LIMPADOR PERFUMADO AZULIM CARINHO 500ml START;Não;2020-01-30 00:00:00
 3405-20-00;5102.0;CERA  LIQUIDA  VERMELHA  POLYLAR 750ml;Não;2020-01-25 00:00:00
